,Match Id,Home Team,Away Team,Home Goal HT,Away Goal HT,Home Goal FT,Away Goal FT,Label,Pos_home,P_home,GD_home,Form Score_home,Pos_away,P_away,GD_away,Form Score_away,H2H Home Points,H2H Away Points
0,416384,Crystal Palace,Arsenal,0,1,0,2,-1,11,45,-9,16.5066,2,84,45,20.2195,6,6
1,416383,Fulham,Liverpool,1,0,2,2,0,10,52,2,13.5268,5,67,28,20.8266,7,4
2,416378,Tottenham,Southampton,2,1,4,1,1,8,60,7,17.2195,20,25,-37,4.2998,4,1
3,416379,Newcastle,Nottingham,0,0,2,0,1,4,71,35,14.9466,16,38,-30,19.6514,3,9
4,416381,Leeds United,Wolverhampton,1,1,2,1,1,19,31,-30,2.0736,13,41,-27,7.306,3,3
5,416382,Bournemouth,Aston Villa,1,0,2,0,1,15,39,-34,3.0,7,61,5,22.1062,10,1
6,416377,Everton,Chelsea,0,1,0,1,-1,17,36,-23,21.2054,12,44,-9,8.7398,7,4
7,416376,Man United,Brighton Hove,0,2,1,2,-1,3,75,15,32.3982,6,62,19,12.2068,6,9
8,416380,Leicester City,Brentford,1,0,2,2,0,18,34,-17,16.8854,9,59,12,31.0782,2,2
9,416375,West Ham,Man City,0,1,0,2,-1,14,40,-13,13.278,1,89,61,16.5268,6,9
10,416373,Aston Villa,Everton,1,0,2,1,1,7,61,5,22.1062,17,36,-23,21.2054,10,4
11,416365,Wolverhampton,Fulham,0,0,0,0,0,13,41,-27,7.306,10,52,2,13.5268,8,2
12,416366,Southampton,Leeds United,0,0,2,2,0,20,25,-37,4.2998,19,31,-30,2.0736,7,7
13,416368,Man City,Bournemouth,3,0,4,0,1,1,89,61,16.5268,15,39,-34,3.0,6,6
14,416371,Brighton Hove,Newcastle,0,0,0,0,0,6,62,19,12.2068,4,71,35,14.9466,8,2
15,416374,Arsenal,Leicester City,2,0,4,2,1,2,84,45,20.2195,18,34,-17,16.8854,6,3
16,416372,Brentford,Man United,4,0,4,0,1,9,59,12,31.0782,3,75,15,32.3982,10,1
17,416367,Nottingham,West Ham,1,0,1,0,1,16,38,-30,19.6514,14,40,-13,13.278,12,0
18,416370,Chelsea,Tottenham,1,0,2,2,0,12,44,-9,8.7398,8,60,7,17.2195,7,4
19,416369,Liverpool,Crystal Palace,0,1,1,1,0,5,67,28,20.8266,11,45,-9,16.5066,2,11
20,416356,Tottenham,Wolverhampton,0,0,1,0,1,8,60,7,17.2195,13,41,-27,7.306,9,3
21,416359,Leicester City,Southampton,0,0,1,2,-1,18,34,-17,16.8854,20,25,-37,4.2998,6,6
22,416361,Fulham,Brentford,2,1,3,2,1,10,52,2,13.5268,9,59,12,31.0782,7,4
23,416362,Everton,Nottingham,0,0,1,1,0,17,36,-23,21.2054,16,38,-30,19.6514,5,5
24,416363,Crystal Palace,Aston Villa,1,1,3,1,1,11,45,-9,16.5066,7,61,5,22.1062,12,0
25,416364,Bournemouth,Arsenal,0,2,0,3,-1,15,39,-34,3.0,2,84,45,20.2195,6,6
26,416355,West Ham,Brighton Hove,0,1,0,2,-1,14,40,-13,13.278,6,62,19,12.2068,4,7
27,416360,Leeds United,Chelsea,2,0,3,0,1,19,31,-30,2.0736,12,44,-9,8.7398,6,0
28,416357,Newcastle,Man City,2,1,3,3,0,4,71,35,14.9466,1,89,61,16.5268,8,5
29,416358,Man United,Liverpool,1,0,2,1,1,3,75,15,32.3982,5,67,28,20.8266,8,5
30,416346,Southampton,Man United,0,0,0,1,-1,20,25,-37,4.2998,3,75,15,32.3982,1,7
31,416348,Man City,Crystal Palace,0,2,4,2,1,1,89,61,16.5268,11,45,-9,16.5066,4,7
32,416349,Liverpool,Bournemouth,5,0,9,0,1,5,67,28,20.8266,15,39,-34,3.0,12,3
33,416350,Chelsea,Leicester City,0,0,2,1,1,12,44,-9,8.7398,18,34,-17,16.8854,3,3
34,416351,Brighton Hove,Leeds United,0,0,1,0,1,6,62,19,12.2068,19,31,-30,2.0736,4,1
35,416352,Brentford,Everton,0,1,1,1,0,9,59,12,31.0782,17,36,-23,21.2054,7,4
36,416354,Arsenal,Fulham,0,0,2,1,1,2,84,45,20.2195,10,52,2,13.5268,7,4
37,416345,Wolverhampton,Newcastle,1,0,1,1,0,13,41,-27,7.306,4,71,35,14.9466,8,5
38,416353,Aston Villa,West Ham,0,0,0,1,-1,7,61,5,22.1062,14,40,-13,13.278,5,8
39,416347,Nottingham,Tottenham,0,1,0,2,-1,16,38,-30,19.6514,8,60,7,17.2195,6,6
40,416338,Crystal Palace,Brentford,0,0,1,1,0,11,45,-9,16.5066,9,59,12,31.0782,9,3
41,416342,Fulham,Brighton Hove,0,0,2,1,1,10,52,2,13.5268,6,62,19,12.2068,7,4
42,416337,Southampton,Chelsea,2,1,2,1,1,20,25,-37,4.2998,12,44,-9,8.7398,3,3
43,416341,Leeds United,Everton,0,1,1,1,0,19,31,-30,2.0736,17,36,-23,21.2054,4,1
44,416335,Man City,Nottingham,3,0,6,0,1,1,89,61,16.5268,16,38,-30,19.6514,7,4
45,416343,Bournemouth,Wolverhampton,0,0,0,0,0,15,39,-34,3.0,13,41,-27,7.306,1,10
46,416344,Arsenal,Aston Villa,1,0,2,1,1,2,84,45,20.2195,7,61,5,22.1062,6,9
47,416339,West Ham,Tottenham,0,1,1,1,0,14,40,-13,13.278,8,60,7,17.2195,5,5
48,416336,Liverpool,Newcastle,0,1,2,1,1,5,67,28,20.8266,4,71,35,14.9466,6,6
49,416340,Leicester City,Man United,0,1,0,1,-1,18,34,-17,16.8854,3,75,15,32.3982,3,3
50,416330,Everton,Liverpool,0,0,0,0,0,17,36,-23,21.2054,5,67,28,20.8266,10,1
51,416325,Wolverhampton,Southampton,1,0,1,0,1,13,41,-27,7.306,20,25,-37,4.2998,3,3
52,416326,Tottenham,Fulham,1,0,2,1,1,8,60,7,17.2195,10,52,2,13.5268,9,3
53,416327,Nottingham,Bournemouth,2,0,2,3,-1,16,38,-30,19.6514,15,39,-34,3.0,3,9
54,416328,Newcastle,Crystal Palace,0,0,0,0,0,4,71,35,14.9466,11,45,-9,16.5066,8,2
55,416331,Chelsea,West Ham,0,0,2,1,1,12,44,-9,8.7398,14,40,-13,13.278,10,4
56,416333,Brentford,Leeds United,2,1,5,2,1,9,59,12,31.0782,19,31,-30,2.0736,4,1
57,416334,Aston Villa,Man City,0,0,1,1,0,7,61,5,22.1062,1,89,61,16.5268,10,1
58,416332,Brighton Hove,Leicester City,2,2,5,2,1,6,62,19,12.2068,18,34,-17,16.8854,4,1
59,416329,Man United,Arsenal,1,0,3,1,1,3,75,15,32.3982,2,84,45,20.2195,9,3
60,416307,Nottingham,Fulham,1,0,2,3,-1,16,38,-30,19.6514,10,52,2,13.5268,9,6
61,416314,Aston Villa,Southampton,1,0,1,0,1,7,61,5,22.1062,20,25,-37,4.2998,3,3
62,416305,Wolverhampton,Man City,0,2,0,3,-1,13,41,-27,7.306,1,89,61,16.5268,9,3
63,416308,Newcastle,Bournemouth,0,0,1,1,0,4,71,35,14.9466,15,39,-34,3.0,7,4
64,416306,Tottenham,Leicester City,2,2,6,2,1,8,60,7,17.2195,18,34,-17,16.8854,7,1
65,416313,Brentford,Arsenal,0,2,0,3,-1,9,59,12,31.0782,2,84,45,20.2195,4,7
66,416310,Everton,West Ham,0,0,1,0,1,17,36,-23,21.2054,14,40,-13,13.278,6,6
67,416304,Arsenal,Tottenham,1,1,3,1,1,2,84,45,20.2195,8,60,7,17.2195,4,10
68,416296,Southampton,Everton,0,0,1,2,-1,20,25,-37,4.2998,17,36,-23,21.2054,0,6
69,416298,Liverpool,Brighton Hove,1,2,3,3,0,5,67,28,20.8266,6,62,19,12.2068,8,2
70,416301,Fulham,Newcastle,0,3,1,4,-1,10,52,2,13.5268,4,71,35,14.9466,9,6
71,416302,Crystal Palace,Chelsea,1,1,1,2,-1,11,45,-9,16.5066,12,44,-9,8.7398,7,7
72,416303,Bournemouth,Brentford,0,0,0,0,0,15,39,-34,3.0,9,59,12,31.0782,5,5
73,416295,West Ham,Wolverhampton,1,0,2,0,1,14,40,-13,13.278,13,41,-27,7.306,9,3
74,416297,Man City,Man United,4,0,6,3,1,1,89,61,16.5268,3,75,15,32.3982,9,3
75,416300,Leeds United,Aston Villa,0,0,0,0,0,19,31,-30,2.0736,7,61,5,22.1062,4,1
76,416299,Leicester City,Nottingham,3,0,4,0,1,18,34,-17,16.8854,16,38,-30,19.6514,6,0
77,416287,Newcastle,Brentford,2,0,5,1,1,4,71,35,14.9466,9,59,12,31.0782,6,6
78,416288,Man City,Southampton,2,0,4,0,1,1,89,61,16.5268,20,25,-37,4.2998,3,3
79,416291,Chelsea,Wolverhampton,1,0,3,0,1,12,44,-9,8.7398,13,41,-27,7.306,9,6
80,416293,Bournemouth,Leicester City,0,1,2,1,1,15,39,-34,3.0,18,34,-17,16.8854,6,3
81,416292,Brighton Hove,Tottenham,0,1,0,1,-1,6,62,19,12.2068,8,60,7,17.2195,12,3
82,416285,West Ham,Fulham,1,1,3,1,1,14,40,-13,13.278,10,52,2,13.5268,7,7
83,416290,Crystal Palace,Leeds United,1,1,2,1,1,11,45,-9,16.5066,19,31,-30,2.0736,3,3
84,416294,Arsenal,Liverpool,2,1,3,2,1,2,84,45,20.2195,5,67,28,20.8266,8,2
85,416289,Everton,Man United,1,2,1,2,-1,17,36,-23,21.2054,3,75,15,32.3982,6,6
86,416286,Nottingham,Aston Villa,1,1,1,1,0,16,38,-30,19.6514,7,61,5,22.1062,10,1
87,416283,Brentford,Brighton Hove,1,0,2,0,1,9,59,12,31.0782,6,62,19,12.2068,8,2
88,416280,Leicester City,Crystal Palace,0,0,0,0,0,18,34,-17,16.8854,11,45,-9,16.5066,5,2
89,416275,Wolverhampton,Nottingham,0,0,1,0,1,13,41,-27,7.306,16,38,-30,19.6514,7,4
90,416282,Fulham,Bournemouth,1,2,2,2,0,10,52,2,13.5268,15,39,-34,3.0,10,1
91,416276,Tottenham,Everton,0,0,2,0,1,8,60,7,17.2195,17,36,-23,21.2054,11,2
92,416277,Southampton,West Ham,1,0,1,1,0,20,25,-37,4.2998,14,40,-13,13.278,4,1
93,416278,Man United,Newcastle,0,0,0,0,0,3,75,15,32.3982,4,71,35,14.9466,10,1
94,416281,Leeds United,Arsenal,0,1,0,1,-1,19,31,-30,2.0736,2,84,45,20.2195,3,3
95,416284,Aston Villa,Chelsea,0,1,0,2,-1,7,61,5,22.1062,12,44,-9,8.7398,1,10
96,416279,Liverpool,Man City,0,0,1,0,1,5,67,28,20.8266,1,89,61,16.5268,8,2
97,416271,Brighton Hove,Nottingham,0,0,0,0,0,6,62,19,12.2068,16,38,-30,19.6514,8,5
98,416268,Crystal Palace,Wolverhampton,0,1,2,1,1,11,45,-9,16.5066,13,41,-27,7.306,9,3
99,416266,Liverpool,West Ham,1,0,1,0,1,5,67,28,20.8266,14,40,-13,13.278,7,4
100,416267,Newcastle,Everton,1,0,1,0,1,4,71,35,14.9466,17,36,-23,21.2054,8,5
101,416272,Brentford,Chelsea,0,0,0,0,0,9,59,12,31.0782,12,44,-9,8.7398,2,8
102,416273,Bournemouth,Southampton,0,1,0,1,-1,15,39,-34,3.0,20,25,-37,4.2998,3,6
103,416265,Man United,Tottenham,0,0,2,0,1,3,75,15,32.3982,8,60,7,17.2195,8,5
104,416270,Fulham,Aston Villa,1,0,3,0,1,10,52,2,13.5268,7,61,5,22.1062,9,3
105,416269,Leicester City,Leeds United,2,0,2,0,1,18,34,-17,16.8854,19,31,-30,2.0736,7,4
106,416259,Nottingham,Liverpool,0,0,1,0,1,16,38,-30,19.6514,5,67,28,20.8266,9,6
107,416260,Man City,Brighton Hove,2,0,3,1,1,1,89,61,16.5268,6,62,19,12.2068,7,4
108,416262,Everton,Crystal Palace,1,0,3,0,1,17,36,-23,21.2054,11,45,-9,16.5066,8,5
109,416263,Chelsea,Man United,0,0,1,1,0,12,44,-9,8.7398,3,75,15,32.3982,10,1
110,416258,Southampton,Arsenal,0,1,1,1,0,20,25,-37,4.2998,2,84,45,20.2195,5,2
111,416261,Leeds United,Fulham,1,1,2,3,-1,19,31,-30,2.0736,10,52,2,13.5268,3,3
112,416264,Aston Villa,Brentford,3,0,4,0,1,7,61,5,22.1062,9,59,12,31.0782,5,5
113,416255,Wolverhampton,Leicester City,0,2,0,4,-1,13,41,-27,7.306,18,34,-17,16.8854,3,3
114,416257,Tottenham,Newcastle,0,2,1,2,-1,8,60,7,17.2195,4,71,35,14.9466,12,3
115,416256,West Ham,Bournemouth,1,0,2,0,1,14,40,-13,13.278,15,39,-34,3.0,5,5
116,416248,Leicester City,Man City,0,0,0,1,-1,18,34,-17,16.8854,1,89,61,16.5268,3,3
117,416245,Newcastle,Aston Villa,1,0,4,0,1,4,71,35,14.9466,7,61,5,22.1062,9,3
118,416250,Crystal Palace,Southampton,1,0,1,0,1,11,45,-9,16.5066,20,25,-37,4.2998,3,3
